Time_s,Power_W,Python_Baseline_degC,Python_HydraCore_degC,Elmer_FEM_Steady_degC
19.200000000000003,374.939826185003,28.740081343928654,28.635319843001263,53.52
19.25,372.8581138721227,28.730555036404375,28.625796153610814,53.52
19.3,396.5811087350007,28.721079070998197,28.616324898359682,53.52
19.35,392.9166269396294,28.711614939061878,28.60686533563229,53.52
19.400000000000002,391.2411981705216,28.70217493499928,28.597430566700954,53.52
19.450000000000003,391.28345509264284,28.69276028333885,28.588021913104946,53.52
19.5,699.8162984072962,28.683685356928397,28.57896910186116,53.52
19.55,686.5411844277126,28.674501128519246,28.5697981097667,53.52
19.6,701.1370683729059,28.665357391403468,28.56066852815096,53.52
19.650000000000002,378.22838288487895,28.65590205815308,28.551211453340013,53.52
19.700000000000003,394.75119733417756,28.646613085631635,28.541931511087345,53.52
19.75,383.52942618497866,28.637334163366912,28.532662162479685,53.52
19.8,376.74502803207497,28.628076785275297,28.52341502489112,53.52
19.85,381.7861415834701,28.618851458842936,28.51420109489951,53.52
19.900000000000002,389.1293145427563,28.60965583050321,28.50501777882554,53.52
19.950000000000003,379.36275447196033,28.600471318384347,28.495845536061122,53.52
20.0,875.0000000000001,28.591820745682487,28.487232916495124,53.52
20.05,895.0,28.583021444206878,28.478458936104786,53.52
20.1,875.0000000000001,28.574211282750955,28.469671753162586,53.52
20.150000000000002,855.0,28.565411016327488,28.460894521693234,53.52
20.200000000000003,875.0000000000019,28.556662094396774,28.452170866004078,53.52
20.25,895.0,28.5479489199845,28.44348404095005,53.52
20.3,875.0000000000006,28.539230085318756,28.434790524585967,53.52
20.35,855.0,28.530521073132768,28.42610694417037,53.52
20.400000000000002,875.0000000000015,28.521863172466762,28.417476696356463,53.52
20.450000000000003,895.0,28.51324078201811,28.408883028658952,53.52
20.5,875.000000000001,28.504612494482178,28.40028241952465,53.52
20.55,855.0,28.49599379320543,28.391691496873886,53.52
20.6,875.000000000001,28.487425967844104,28.383153658029272,53.52
20.650000000000002,895.0,28.478893417710324,28.374652151173603,53.52
20.700000000000003,874.9999999999992,28.470354736112466,28.366143455419966,53.52
20.75,855.0,28.461825407008405,28.35764419935304,53.52
20.8,875.0000000000007,28.453346720664264,28.34919778095824,53.52
20.85,895.0,28.444903077000397,28.340787449079176,53.52
20.900000000000002,874.9999999999995,28.436453069931854,28.332369683488068,53.52
20.950000000000003,855.0,28.42801218402167,28.323961113426996,53.52
21.0,875.0000000000002,28.41962171013941,28.31560513753689,53.52
21.05,895.0,28.411266048807395,28.30728500531521,53.52
21.1,875.0,28.402903794541032,28.298957197186244,53.52
21.150000000000002,855.0,28.394550432502122,28.290638343042406,53.52
21.200000000000003,875.000000000002,28.386247254157514,28.282371842173195,53.52
21.25,895.0,28.377978660625175,28.2741409447229,53.52
21.3,875.0000000000005,28.36970324701466,28.265902131760914,53.52
21.35,855.0,28.361436499080334,28.257672033822978,53.52
21.400000000000002,875.0000000000016,28.353219708880115,28.249494050840262,53.52
21.450000000000003,895.0,28.34503727812144,28.241351433596943,53.52
21.5,687.6666940665035,28.33665644511249,28.232999949131656,53.52
21.55,703.6553081723787,28.328393821246934,28.224773921077077,53.52
21.6,703.6744985666309,28.320148939994645,28.216566282045786,53.52
21.650000000000002,379.9305682462888,28.311594752201238,28.208033680034273,53.52
21.700000000000003,380.28961694381684,28.303188547963305,28.199658958163866,53.52
21.75,387.3204993735764,28.294815006323567,28.191318694367983,53.52
21.8,370.5191565850268,28.28644353478809,28.18298005601746,53.52
21.85,370.9253622562345,28.278100743927624,28.174671133581946,53.52
21.900000000000002,377.8155577874757,28.269786787982575,28.16639196972294,53.52
21.950000000000003,382.8655284828816,28.261497014382723,28.158137584969214,53.52
22.0,704.66361348397,28.253555544799866,28.150247951491224,53.52
22.05,722.1303432542433,28.245528024091573,28.142264361697052,53.52
22.1,712.8648943480302,28.237501551598164,28.13428045749978,53.52
22.150000000000002,383.4006147003658,28.229162752250424,28.125968437508686,53.52
22.200000000000003,384.80983792097317,28.22097476096679,28.117817330298426,53.52
22.25,374.97470635362197,28.212801296460555,28.109681658692807,53.52
22.3,384.81486864007616,28.20466311193651,28.10158260747444,53.52
22.35,382.11341361079866,28.19653970546899,28.093498462188673,53.52
22.400000000000002,388.227185603381,28.188444673535937,28.08544356282368,53.52
22.450000000000003,376.7276905644768,28.180356674687033,28.077395462685832,53.52
22.5,707.7901977136175,28.17263233196152,28.069728378267058,53.52
22.55,722.9910836950387,28.16481566028504,28.061960695725997,53.52
22.6,698.3685977731471,28.156984577014274,28.054176483962575,53.52
22.650000000000002,389.01711722098946,28.148867168661944,28.046091581822886,53.52
22.700000000000003,391.9014399171112,28.14089388870639,28.03816042023949,53.52
22.75,380.9877952811417,28.13293267892626,28.030242057543997,53.52
22.8,387.24092481810425,28.1250029250968,28.022356306245175,53.52
22.85,385.125924007818,28.117089404535726,28.014487021929657,53.52
22.900000000000002,385.9767609854884,28.1091981492154,28.006640575260803,53.52
22.950000000000003,377.2699021614454,28.101318279566637,27.998805541649556,53.52
23.0,700.3676526138842,28.093792366156155,27.991341331339516,53.52
23.05,707.4699743686817,28.08616838633576,27.983770575313983,53.52
23.1,721.7671541169257,28.078572472295345,27.976227939385833,53.52
23.150000000000002,394.59270826085213,28.070656445147353,27.968348807048855,53.52
23.200000000000003,406.5318245751156,28.062899728008926,27.96063942649453,53.52
23.25,377.32652437111955,28.05513251652624,27.952919120159123,53.52
23.3,393.72320636720684,28.047413598659634,27.945249245728853,53.52
23.35,386.8334200573836,28.039701766132676,27.937586180817043,53.52
23.400000000000002,406.8980293321768,28.032033037922268,27.929967836253805,53.52
23.450000000000003,376.91701714644853,28.024345998157543,27.922329573744168,53.52
23.5,687.4041723672883,28.01700754677675,27.915056668993135,53.52
23.55,691.0091103183397,28.009572084121384,27.907678492219297,53.52
23.6,668.141564135353,28.002127736952087,27.90028974187977,53.52
23.650000000000002,379.74244978319246,27.994416918484138,27.892621133570092,53.52
23.700000000000003,377.4086733844631,27.98683571222209,27.88509082797598,53.52
23.75,386.5039378647621,27.979287772392006,27.87759555484906,53.52
23.8,388.41755975777164,27.971758085417,27.87011885288163,53.52
23.85,403.76170839215894,27.96426287535144,27.862677748576782,53.52
23.900000000000002,394.50423838186055,27.956771798818707,27.855240295267436,53.52
23.950000000000003,379.230963443376,27.949288071210827,27.847810078075714,53.52
24.0,686.5237799297746,27.942143772613175,27.840735527799126,53.52
24.05,707.3787875725976,27.934920655565676,27.833574788876362,53.52
24.1,680.1965018946904,27.92767704761508,27.826391136747436,53.52
24.150000000000002,403.3145876585436,27.920179683654997,27.81894096648907,53.52
24.200000000000003,396.7944012072129,27.912802684200503,27.811619291591846,53.52
24.25,380.308243478953,27.905433777906747,27.80430625929133,53.52
24.3,367.8686547090913,27.89807794082255,27.79700661891191,53.52
24.35,398.53872374165417,27.890777630477658,27.78976485281243,53.52
24.400000000000002,383.85460154747386,27.883469642659747,27.78251423291246,53.52
24.450000000000003,397.37816311973467,27.876199872519223,27.77530324768292,53.52
24.5,676.0835851180844,27.869228682682756,27.768404809230383,53.52
24.55,691.0093746556934,27.862182904414606,27.761424835447457,53.52
24.6,700.0786554957728,27.855155813588947,27.754463159957314,53.52
24.650000000000002,385.4698059376475,27.84782191072053,27.747178975437365,53.52
24.700000000000003,380.4993452852076,27.840623720246487,27.740039674863752,53.52
24.75,391.22849932347503,27.833460773962585,27.73293755898894,53.52
24.8,374.3237957061741,27.82629526003329,27.72583216661353,53.52
24.85,383.57620514978714,27.819164316498902,27.718762649900338,53.52
24.900000000000002,386.20295631711906,27.8120512674159,27.711711317959075,53.52
24.950000000000003,390.14438834058757,27.80495968471815,27.704681927616992,53.52
25.0,710.6742231713333,27.79821245924985,27.69801315735063,53.52
25.05,683.130368622432,27.791330594537612,27.691199471814752,53.52
25.1,676.9882874389657,27.784467415782636,27.68440440774813,53.52
25.150000000000002,397.7767682189851,27.777339512113745,27.677331218062527,53.52
25.200000000000003,388.323140119796,27.77032869122606,27.670383062619873,53.52
25.25,377.5151346344345,27.763331963447808,27.663449873508565,53.52
